Mes,Estacao,Trecho,Sentido,Trecho macro,Tipo De Pistas,Numero de Pistas,Tipo de Pavimento,Numero de Faixas,Velocidade Maxima,Tipo da Chuva,Intervencao,Vazamento,Agua?,Vegetacao Baixa?,capimAlto,Arbustos,Floresta,Local,Com filhotes?,Faixa Horario da Coleta,Faixa de Quilometragem,mamifero mais atropelado
9,Inverno,9,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 18 e 00,Entre 25 e 50,0
10,Primavera,4,JF,Serra,Sem divisão,1,Pavimento semi-flexível,2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
10,Primavera,8,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 06,Entre 50 e 75,0
10,Primavera,5,JF,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
1,Verão,6,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 18,Entre 50 e 75,0
2,Verão,5,RJ,Serra,Canteiro divisório,2,Pavimento flexível (asfalto),2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
2,Verão,3,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 100 e 125,0
2,Verão,5,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,1
2,Verão,4,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
3,Verão,9,JF,Planalto,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
3,Verão,5,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
3,Verão,5,JF,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
3,Verão,5,JF,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
3,Verão,4,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
3,Verão,4,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,"Acostamento, sarjeta",Desconhecido,Entre 06 e 12,Entre 75 e 100,0
3,Verão,4,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
3,Verão,3,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
4,Outono,4,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
4,Outono,4,RJ,Serra,Sem divisão,2,Pavimento rígido,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 18 e 00,Entre 75 e 100,0
4,Outono,13,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 0 e 25,0
4,Outono,12,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 0 e 25,0
4,Outono,10,JF,Planalto,Canteiro divisório,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
4,Outono,9,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
4,Outono,9,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,1
4,Outono,4,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,1
4,Outono,3,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,1
4,Outono,5,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
5,Outono,7,JF,Planalto,Canteiro divisório,3,Pavimento flexível (asfalto),7,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
5,Outono,4,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
5,Outono,3,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 100 e 125,0
5,Outono,3,JF,Serra,Sem divisão,2,Pavimento flexível (asfalto),1,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
5,Outono,4,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
5,Outono,8,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
5,Outono,8,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 25 e 50,0
5,Outono,6,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 00 e 06,Entre 50 e 75,0
6,Outono,7,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
6,Outono,6,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
6,Outono,4,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
6,Outono,6,JF,Planalto,Sem divisão,1,Pavimento flexível (asfalto),2,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
6,Outono,8,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
6,Outono,6,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,1
6,Inverno,4,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
6,Inverno,6,RJ,Planalto,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 50 e 75,1
6,Inverno,3,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Chuva fina,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 06,Entre 100 e 125,0
7,Inverno,5,JF,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
7,Inverno,4,RJ,Serra,Sem divisão,1,Pavimento rígido,2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
7,Inverno,8,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 25 e 50,0
7,Inverno,3,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 18 e 00,Entre 75 e 100,1
7,Inverno,14,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 800 e 825,0
7,Inverno,3,RJ,Serra,Sem divisão,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 18 e 00,Entre 75 e 100,0
7,Inverno,14,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 18 e 00,Entre 800 e 825,0
8,Inverno,6,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
8,Inverno,4,JF,Serra,Sem divisão,1,Pavimento rígido,2,60,Chuva fina,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 00 e 06,Entre 75 e 100,0
8,Inverno,4,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
8,Inverno,16,RJ,Planalto,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 18 e 00,Entre 800 e 825,0
8,Inverno,7,JF,Planalto,Canteiro divisório,2,Pavimento flexível (asfalto),7,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
8,Inverno,4,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
8,Inverno,3,RJ,Serra,Sem divisão,2,Pavimento rígido,3,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 06,Entre 75 e 100,0
8,Inverno,3,JF,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Entre 00 e 06,Entre 75 e 100,1
8,Inverno,12,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 0 e 25,0
8,Inverno,10,RJ,Planalto,Canteiro divisório,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,1
8,Inverno,3,RJ,Serra,Sem divisão,3,Pavimento flexível (asfalto),6,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 18 e 00,Entre 75 e 100,0
8,Inverno,3,RJ,Serra,Sem divisão,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
9,Inverno,14,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 800 e 825,0
9,Inverno,6,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
9,Inverno,6,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),3,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
9,Inverno,4,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,1
9,Primavera,12,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 0 e 25,0
9,Primavera,12,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 00 e 06,Entre 0 e 25,0
10,Primavera,3,JF,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,1
10,Primavera,9,JF,Planalto,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
10,Primavera,6,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
10,Primavera,8,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
10,Primavera,8,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
10,Primavera,4,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
10,Primavera,15,RJ,Planalto,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 00 e 06,Entre 800 e 825,0
10,Primavera,6,JF,Serra,Sem divisão,2,Pavimento flexível (asfalto),1,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 18 e 00,Entre 50 e 75,0
10,Primavera,2,JF,Baixada,Barreira rígida (New Jersey),2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 100 e 125,1
10,Primavera,6,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 06,Entre 50 e 75,0
10,Primavera,6,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 50 e 75,0
11,Primavera,6,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 18 e 00,Entre 50 e 75,0
11,Primavera,11,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 00 e 06,Entre 0 e 25,0
11,Primavera,4,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
11,Primavera,9,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
11,Primavera,3,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
11,Primavera,6,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,1
11,Primavera,5,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
11,Primavera,5,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,80,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
11,Primavera,6,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
11,Primavera,6,JF,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,1
11,Primavera,11,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Faixa New Jersey,Desconhecido,Entre 06 e 12,Entre 0 e 25,0
11,Primavera,9,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Faixa New Jersey,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
11,Primavera,9,JF,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,110,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 25 e 50,0
11,Primavera,7,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 06 e 12,Entre 50 e 75,0
12,Primavera,4,RJ,Serra,Sem divisão,1,Pavimento semi-flexível,2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Pista de rolamento,Desconhecido,Entre 06 e 12,Entre 75 e 100,0
12,Primavera,11,RJ,Planalto,Defensa Metálica,2,Pavimento flexível (asfalto),4,80,Sem chuva,não,Desconhecido,não,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Acostamento,Desconhecido,Entre 12 e 18,Entre 0 e 25,0
12,Primavera,5,RJ,Serra,Sem divisão,1,Pavimento flexível (asfalto),2,60,Sem chuva,não,Desconhecido,sim,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Entre 12 e 18,Entre 75 e 100,0
